term,gene
ko00020,R120250140
ko00480,R120250140
ko00720,R120250140
ko01100,R120250140
ko01110,R120250140
ko01120,R120250140
ko01200,R120250140
ko01210,R120250140
ko01230,R120250140
ko04146,R120250140
ko05230,R120250140
ko00130,R120207870
ko00940,R120207870
ko01100,R120207870
ko01110,R120207870
ko00260,R120316400
ko00400,R120316400
ko01100,R120316400
ko01110,R120316400
ko01230,R120316400
ko00910,R120273150
ko00770,R120206600
ko01100,R120206600
ko01240,R120206600
ko00760,R120095180
ko01100,R120095180
ko01240,R120095180
ko04141,R120094370
ko00440,R120032000
ko00564,R120032000
ko01100,R120032000
ko05231,R120032000
ko00520,R120236500
ko01100,R120236500
ko03010,R120002310
ko00030,R120369890
ko01100,R120369890
ko01110,R120369890
ko01120,R120369890
ko01200,R120369890
ko01230,R120369890
ko00310,R120156250
ko01100,R120156250
ko00030,R120189780
ko00040,R120189780
ko00710,R120189780
ko01100,R120189780
ko01110,R120189780
ko01120,R120189780
ko01200,R120189780
ko01230,R120189780
ko00380,R120293630
ko00966,R120293630
ko01100,R120293630
ko01110,R120293630
ko01210,R120293630
ko00260,R120271260
ko00630,R120271260
ko00670,R120271260
ko01100,R120271260
ko01110,R120271260
ko01200,R120271260
ko00195,R120202820
ko01100,R120202820
ko00195,R120276000
ko00330,R120115690
ko00360,R120115690
ko00380,R120115690
ko00627,R120115690
ko00643,R120115690
ko01100,R120115690
ko01120,R120115690
ko03015,R120280060
ko04071,R120280060
ko04111,R120280060
ko04113,R120280060
ko04114,R120280060
ko04151,R120280060
ko04152,R120280060
ko04261,R120280060
ko04350,R120280060
ko04390,R120280060
ko04391,R120280060
ko04530,R120280060
ko04728,R120280060
ko04730,R120280060
ko05142,R120280060
ko05160,R120280060
ko05165,R120280060
ko00750,R120311670
ko01120,R120311670
ko00730,R120363390
ko01100,R120363390
ko01240,R120363390
ko04138,R120337620
ko04721,R120337620
ko04075,R120290630
ko03010,R120152590
ko05171,R120152590
ko04112,R120275550
ko00460,R120254780
ko01100,R120254780
ko01110,R120254780
ko00910,R120133480
ko04626,R120244820
ko04144,R120167210
ko04712,R120256720
ko00970,R120115410
ko03013,R120010170
ko00061,R120232290
ko00333,R120232290
ko01100,R120232290
ko01110,R120232290
ko01212,R120232290
ko03010,R120305150
ko05171,R120305150
ko00190,R120118990
ko00190,R120093270
ko01100,R120093270
ko04260,R120093270
ko04714,R120093270
ko04932,R120093270
ko05010,R120093270
ko05012,R120093270
ko05014,R120093270
ko05016,R120093270
ko05020,R120093270
ko05022,R120093270
ko00040,R120109080
ko01100,R120109080
ko00330,R120146570
ko01100,R120146570
ko01110,R120146570
ko01230,R120146570
ko04721,R120190380
ko04911,R120190380
ko00030,R120208080
ko00040,R120208080
ko00710,R120208080
ko01100,R120208080
ko01110,R120208080
ko01120,R120208080
ko01200,R120208080
ko01230,R120208080
ko00195,R120058610
ko00340,R120144240
ko01100,R120144240
ko01110,R120144240
ko01230,R120144240
ko04144,R120329090
ko04721,R120329090
ko04961,R120329090
ko05016,R120329090
ko00280,R120253820
ko01100,R120253820
ko04120,R120058880
ko05012,R120058880
ko05022,R120058880
ko03010,R120005200
ko04712,R120156300
ko04141,R120285010
ko04075,R120052120
ko05014,R120220730
ko03015,R120044810
ko04152,R120076970
ko00564,R120171360
ko01110,R120171360
ko04011,R120171360
ko00906,R120359160
ko01100,R120359160
ko01110,R120359160
ko00190,R120196940
ko01100,R120196940
ko04714,R120196940
ko04723,R120196940
ko04932,R120196940
ko05010,R120196940
ko05012,R120196940
ko05014,R120196940
ko05016,R120196940
ko05020,R120196940
ko05022,R120196940
ko00040,R120258770
ko01100,R120258770
ko04013,R120073580
ko04068,R120073580
ko04146,R120073580
ko04211,R120073580
ko04212,R120073580
ko04213,R120073580
ko05016,R120073580
ko03015,R120160550
ko04071,R120160550
ko04113,R120160550
ko04114,R120160550
ko04151,R120160550
ko04152,R120160550
ko04261,R120160550
ko04728,R120160550
ko05165,R120160550
ko03022,R120309200
ko04626,R120061030
ko03010,R120091490
ko05171,R120091490
ko00073,R120157980
ko05130,R120329870
ko04612,R120273560
ko00710,R120321310
ko01100,R120321310
ko01120,R120321310
ko01200,R120321310
ko04011,R120027950
ko04110,R120027950
ko04114,R120027950
ko04151,R120027950
ko04390,R120027950
ko04391,R120027950
ko04621,R120027950
ko04722,R120027950
ko05160,R120027950
ko05203,R120027950
ko00906,R120006060
ko04075,R120133650
ko05130,R120038860
ko00520,R120013870
ko01100,R120013870
ko04151,R120327540
ko04142,R120353660
ko04216,R120353660
ko04978,R120353660
ko00564,R120217780
ko00010,R120045770
ko00053,R120045770
ko00071,R120045770
ko00280,R120045770
ko00310,R120045770
ko00330,R120045770
ko00340,R120045770
ko00380,R120045770
ko00410,R120045770
ko00561,R120045770
ko00620,R120045770
ko00625,R120045770
ko00770,R120045770
ko00903,R120045770
ko00981,R120045770
ko01100,R120045770
ko01110,R120045770
ko01120,R120045770
ko01240,R120045770
ko04626,R120094970
ko05145,R120094970
ko04120,R120189350
ko05012,R120189350
ko05022,R120189350
ko03010,R120228910
ko05171,R120228910
ko00350,R120165370
ko00360,R120165370
ko00380,R120165370
ko00901,R120165370
ko00950,R120165370
ko00965,R120165370
ko01100,R120165370
ko01110,R120165370
ko04361,R120165370
ko04726,R120165370
ko04728,R120165370
ko05030,R120165370
ko05031,R120165370
ko05034,R120165370
ko04138,R120216530
ko05132,R120216530
ko00500,R120070250
ko01100,R120070250
ko01110,R120070250
ko00072,R120138550
ko00280,R120138550
ko00281,R120138550
ko00650,R120138550
ko01100,R120138550
ko01110,R120138550
ko04146,R120138550
ko00330,R120174440
ko00410,R120174440
ko00770,R120174440
ko01100,R120174440
ko00940,R120106880
ko01100,R120106880
ko01110,R120106880
ko00670,R120174790
ko00720,R120174790
ko01100,R120174790
ko01120,R120174790
ko01200,R120174790
ko01523,R120174790
ko04712,R120182370
ko03040,R120079120
ko00960,R120059210
ko01100,R120059210
ko01110,R120059210
ko05017,R120059380
ko03010,R120274540
ko05171,R120274540
ko00940,R120045520
ko01100,R120045520
ko01110,R120045520
ko03010,R120224310
ko05171,R120224310
ko04626,R120344140
ko03015,R120070590
ko04071,R120070590
ko04151,R120070590
ko04152,R120070590
ko04261,R120070590
ko04728,R120070590
ko05165,R120070590
ko00195,R120154560
ko03018,R120236730
ko00520,R120020530
ko01100,R120020530
ko00330,R120046960
ko01100,R120046960
ko00310,R120032030
ko01100,R120032030
ko04714,R120282510
ko05225,R120282510
ko04141,R120332370
ko04016,R120306420
ko04075,R120306420
ko04016,R120050780
ko04075,R120050780
ko04626,R120050780
ko04110,R120336050
ko04111,R120336050
ko04114,R120336050
ko04120,R120336050
ko04141,R120336050
ko04310,R120336050
ko04341,R120336050
ko04350,R120336050
ko04710,R120336050
ko05131,R120336050
ko05132,R120336050
ko05170,R120336050
ko05200,R120336050
ko04075,R120049420
ko00513,R120006050
ko01100,R120006050
ko04141,R120202620
ko00195,R120338000
ko04075,R120176060
ko03010,R120225600
ko03410,R120011080
ko04110,R120336220
ko04111,R120336220
ko00040,R120070260
ko01100,R120070260
ko03050,R120080540
ko05010,R120080540
ko05012,R120080540
ko05014,R120080540
ko05016,R120080540
ko05017,R120080540
ko05020,R120080540
ko05022,R120080540
ko05169,R120080540
ko04120,R120025290
ko00220,R120348440
ko00250,R120348440
ko00630,R120348440
ko00910,R120348440
ko01100,R120348440
ko01120,R120348440
ko01230,R120348440
ko02020,R120348440
ko04217,R120348440
ko04724,R120348440
ko04727,R120348440
ko03010,R120164630
ko05171,R120164630
ko04010,R120216150
ko04020,R120216150
ko04022,R120216150
ko04114,R120216150
ko04218,R120216150
ko04310,R120216150
ko04360,R120216150
ko04370,R120216150
ko04380,R120216150
ko04625,R120216150
ko04650,R120216150
ko04658,R120216150
ko04659,R120216150
ko04660,R120216150
ko04662,R120216150
ko04720,R120216150
ko04724,R120216150
ko04921,R120216150
ko04922,R120216150
ko04924,R120216150
ko05010,R120216150
ko05014,R120216150
ko05020,R120216150
ko05022,R120216150
ko05031,R120216150
ko05152,R120216150
ko05163,R120216150
ko05166,R120216150
ko05167,R120216150
ko05170,R120216150
ko05235,R120216150
ko05206,R120363960
ko03030,R120222510
ko03410,R120222510
ko03420,R120222510
ko03010,R120380740
ko05171,R120380740
ko03008,R120195790
ko03013,R120195790
ko04013,R120195790
ko05164,R120195790
ko05166,R120195790
ko05142,R120289980
ko05143,R120289980
ko04214,R120018920
ko04142,R120012050
ko04144,R120012050
ko04721,R120012050
ko04961,R120012050
ko05016,R120012050
ko05100,R120012050
ko00010,R120017030
ko00710,R120017030
ko01100,R120017030
ko01110,R120017030
ko01120,R120017030
ko01200,R120017030
ko01230,R120017030
ko04066,R120017030
ko05010,R120017030
ko05130,R120017030
ko05132,R120017030
ko03060,R120143060
ko04141,R120143060
ko04145,R120143060
ko05110,R120143060
ko00591,R120269400
ko00592,R120269400
ko01100,R120269400
ko01110,R120269400
ko00330,R120227320
ko01100,R120227320
ko01110,R120227320
ko01230,R120227320
ko04216,R120244960
ko04978,R120244960
ko04141,R120114040
ko00520,R120162370
ko01100,R120162370
ko00940,R120350890
ko01100,R120350890
ko01110,R120350890
ko03008,R120234140
ko04613,R120314770
ko05034,R120314770
ko03008,R120291570
ko00908,R120185120
ko03013,R120315230
ko03040,R120315230
ko04075,R120084800
ko03015,R120015200
ko03013,R120169050
ko03015,R120169050
ko03018,R120169050
ko00562,R120181830
ko00564,R120181830
