term,gene
ko01100,R120300780
ko02020,R120300780
ko03010,R120177520
ko05171,R120177520
ko00040,R120319030
ko01100,R120319030
ko02020,R120319030
ko00500,R120279340
ko00520,R120279340
ko01100,R120279340
ko01110,R120279340
ko02026,R120279340
ko04146,R120365640
ko01522,R120055130
ko04110,R120055130
ko04218,R120055130
ko04934,R120055130
ko05160,R120055130
ko05161,R120055130
ko05163,R120055130
ko05166,R120055130
ko05167,R120055130
ko05169,R120055130
ko05200,R120055130
ko05206,R120055130
ko05212,R120055130
ko05214,R120055130
ko05215,R120055130
ko05218,R120055130
ko05219,R120055130
ko05220,R120055130
ko05222,R120055130
ko05223,R120055130
ko05224,R120055130
ko05225,R120055130
ko05226,R120055130
ko04310,R120071520
ko04146,R120084990
ko04138,R120045800
ko00040,R120224970
ko01100,R120224970
ko05130,R120172150
ko00970,R120393100
ko00520,R120088060
ko01100,R120088060
ko00330,R120167340
ko01100,R120167340
ko04142,R120125410
ko05170,R120125410
ko00010,R120318830
ko00030,R120318830
ko00052,R120318830
ko00230,R120318830
ko00500,R120318830
ko00520,R120318830
ko00521,R120318830
ko01100,R120318830
ko01110,R120318830
ko01120,R120318830
ko03022,R120019440
ko04075,R120250310
ko04146,R120088550
ko00520,R120240250
ko01100,R120240250
ko00480,R120112170
ko00980,R120112170
ko00982,R120112170
ko00983,R120112170
ko01100,R120112170
ko01524,R120112170
ko04212,R120112170
ko05200,R120112170
ko05204,R120112170
ko05225,R120112170
ko05418,R120112170
ko03010,R120144900
ko05171,R120144900
ko00380,R120170640
ko01100,R120170640
ko00430,R120213590
ko00460,R120213590
ko00480,R120213590
ko00590,R120213590
ko01100,R120213590
ko03022,R120045850
ko00520,R120030330
ko01100,R120030330
ko00020,R120380560
ko01100,R120380560
ko01110,R120380560
ko01120,R120380560
ko01200,R120380560
ko01210,R120380560
ko01230,R120380560
ko00010,R120270510
ko00710,R120270510
ko01100,R120270510
ko01110,R120270510
ko01120,R120270510
ko01200,R120270510
ko01230,R120270510
ko04066,R120270510
ko05010,R120270510
ko05130,R120270510
ko05132,R120270510
ko00940,R120244260
ko01100,R120244260
ko01110,R120244260
ko00510,R120087600
ko00513,R120087600
ko01100,R120087600
ko04138,R120340570
ko04144,R120340570
ko04530,R120340570
ko04666,R120340570
ko04810,R120340570
ko05100,R120340570
ko05130,R120340570
ko05131,R120340570
ko05132,R120340570
ko05135,R120340570
ko04010,R120196450
ko03013,R120242240
ko03015,R120242240
ko03040,R120242240
ko00900,R120112750
ko01100,R120112750
ko01110,R120112750
ko04144,R120155340
ko00230,R120217120
ko00240,R120217120
ko00983,R120217120
ko01100,R120217120
ko01110,R120217120
ko01240,R120217120
ko04016,R120217120
ko00053,R120165790
ko00562,R120165790
ko01100,R120165790
ko03015,R120200460
ko04022,R120200460
ko04024,R120200460
ko04113,R120200460
ko04114,R120200460
ko04218,R120200460
ko04261,R120200460
ko04270,R120200460
ko04390,R120200460
ko04510,R120200460
ko04611,R120200460
ko04720,R120200460
ko04728,R120200460
ko04750,R120200460
ko04810,R120200460
ko04910,R120200460
ko04921,R120200460
ko04931,R120200460
ko05031,R120200460
ko05034,R120200460
ko05168,R120200460
ko05205,R120200460
ko00510,R120004460
ko00513,R120004460
ko01100,R120004460
ko04141,R120004460
ko00564,R120007110
ko04141,R120187110
ko03010,R120259160
ko03050,R120263630
ko05010,R120263630
ko05012,R120263630
ko05014,R120263630
ko05016,R120263630
ko05017,R120263630
ko05020,R120263630
ko05022,R120263630
ko05169,R120263630
ko04075,R120064030
ko03008,R120190530
ko03420,R120279270
ko04120,R120279270
ko03460,R120330570
ko05169,R120330570
ko05200,R120330570
ko05202,R120330570
ko05210,R120330570
ko05212,R120330570
ko05213,R120330570
ko05214,R120330570
ko05216,R120330570
ko05217,R120330570
ko05218,R120330570
ko05220,R120330570
ko05222,R120330570
ko05223,R120330570
ko05224,R120330570
ko05225,R120330570
ko05226,R120330570
ko04391,R120096900
ko03040,R120280250
ko00230,R120277060
ko00670,R120277060
ko01100,R120277060
ko01110,R120277060
ko04113,R120095820
ko04140,R120077130
ko05014,R120077130
ko05022,R120077130
ko05130,R120077130
ko05134,R120077130
ko00190,R120159870
ko01100,R120159870
ko02020,R120159870
ko04260,R120159870
ko04714,R120159870
ko04932,R120159870
ko05010,R120159870
ko05012,R120159870
ko05014,R120159870
ko05016,R120159870
ko05020,R120159870
ko05022,R120159870
ko00730,R120032270
ko00900,R120032270
ko01100,R120032270
ko01110,R120032270
ko00040,R120232910
ko01100,R120232910
ko02020,R120232910
ko00860,R120345050
ko01100,R120345050
ko01110,R120345050
ko01120,R120345050
ko01240,R120345050
ko04016,R120152520
ko04013,R120174420
ko00906,R120195870
ko01100,R120195870
ko01110,R120195870
ko00190,R120044490
ko01100,R120044490
ko04142,R120044490
ko04145,R120044490
ko04721,R120044490
ko05110,R120044490
ko05120,R120044490
ko05152,R120044490
ko05165,R120044490
ko05323,R120044490
ko01524,R120297800
ko03320,R120297800
ko04011,R120297800
ko04068,R120297800
ko04071,R120297800
ko04140,R120297800
ko04150,R120297800
ko04151,R120297800
ko04152,R120297800
ko04210,R120297800
ko04510,R120297800
ko04660,R120297800
ko04664,R120297800
ko04722,R120297800
ko04910,R120297800
ko04919,R120297800
ko04931,R120297800
ko04960,R120297800
ko05145,R120297800
ko05205,R120297800
ko05213,R120297800
ko05215,R120297800
ko05223,R120297800
ko05231,R120297800
ko04075,R120029230
ko00380,R120038770
ko01100,R120038770
ko04146,R120308500
ko03022,R120337110
ko05017,R120337110
ko05203,R120337110
ko00910,R120084770
ko01100,R120084770
ko03010,R120374260
ko05171,R120374260
ko04626,R120150750
ko05202,R120163960
ko04626,R120062450
ko00100,R120244790
ko00561,R120244790
ko00564,R120244790
ko00565,R120244790
ko00590,R120244790
ko00591,R120244790
ko00592,R120244790
ko01100,R120244790
ko01110,R120244790
ko00190,R120379130
ko01100,R120379130
ko04260,R120379130
ko04714,R120379130
ko04932,R120379130
ko05010,R120379130
ko05012,R120379130
ko05014,R120379130
ko05016,R120379130
ko05020,R120379130
ko05022,R120379130
ko00564,R120147640
ko01110,R120147640
ko04011,R120147640
ko00750,R120186300
ko01100,R120186300
ko01240,R120186300
ko04626,R120396130
ko03030,R120328340
ko04110,R120328340
ko04111,R120328340
ko04113,R120328340
ko04144,R120335510
ko03050,R120057060
ko05010,R120057060
ko05012,R120057060
ko05014,R120057060
ko05016,R120057060
ko05017,R120057060
ko05020,R120057060
ko05022,R120057060
ko05169,R120057060
ko04144,R120145040
ko04340,R120287560
ko04341,R120287560
ko03018,R120064940
ko02010,R120081180
ko04976,R120081180
ko05206,R120081180
ko05226,R120081180
ko00051,R120091210
ko01100,R120091210
ko04120,R120105190
ko03018,R120133340
ko00900,R120313130
ko01110,R120313130
ko00053,R120355380
ko00480,R120355380
ko01100,R120355380
ko00061,R120115950
ko01100,R120115950
ko01212,R120115950
ko00520,R120225150
ko01100,R120225150
ko04613,R120071780
ko05034,R120071780
ko05203,R120071780
ko00220,R120080550
ko00250,R120080550
ko01100,R120080550
ko01110,R120080550
ko01230,R120080550
ko05418,R120080550
ko04111,R120097720
ko03008,R120393730
ko03008,R120240180
ko00909,R120073180
ko01100,R120073180
ko01110,R120073180
ko00220,R120058360
ko00250,R120058360
ko00270,R120058360
ko00330,R120058360
ko00350,R120058360
ko00360,R120058360
ko00400,R120058360
ko00710,R120058360
ko00950,R120058360
ko00960,R120058360
ko01100,R120058360
ko01110,R120058360
ko01120,R120058360
ko01200,R120058360
ko01210,R120058360
ko01230,R120058360
ko04975,R120058360
ko03040,R120298240
ko04072,R120180830
ko04144,R120180830
ko05110,R120180830
ko05130,R120180830
ko05131,R120180830
ko05132,R120180830
ko05134,R120180830
ko00860,R120274940
ko01100,R120274940
ko01110,R120274940
ko01521,R120371920
ko04012,R120371920
ko04062,R120371920
ko04110,R120371920
ko04150,R120371920
ko04151,R120371920
ko04310,R120371920
ko04340,R120371920
ko04341,R120371920
ko04360,R120371920
ko04390,R120371920
ko04510,R120371920
ko04550,R120371920
ko04657,R120371920
ko04660,R120371920
ko04662,R120371920
ko04711,R120371920
ko04722,R120371920
ko04728,R120371920
ko04910,R120371920
ko04916,R120371920
ko04917,R120371920
ko04919,R120371920
ko04931,R120371920
ko04932,R120371920
ko04934,R120371920
ko04935,R120371920
ko05010,R120371920
ko05020,R120371920
ko05022,R120371920
ko05131,R120371920
ko05135,R120371920
ko05160,R120371920
ko05162,R120371920
ko05163,R120371920
ko05165,R120371920
ko05167,R120371920
ko05200,R120371920
ko05210,R120371920
ko05213,R120371920
ko05215,R120371920
ko05217,R120371920
ko05224,R120371920
ko05225,R120371920
ko05226,R120371920
ko03010,R120025320
ko05171,R120025320
ko00460,R120050480
ko00500,R120050480
ko00940,R120050480
ko01100,R120050480
ko01110,R120050480
ko04016,R120104800
ko04075,R120104800
ko04626,R120104800
ko04016,R120336160
ko04075,R120336160
ko04626,R120336160
ko04626,R120001240
ko00561,R120291160
ko01100,R120291160
ko04144,R120017910
ko00940,R120310830
ko01100,R120310830
ko01110,R120310830
ko04011,R120225880
ko04110,R120225880
ko04114,R120225880
ko04151,R120225880
ko04390,R120225880
ko04391,R120225880
ko04621,R120225880
ko04722,R120225880
ko05160,R120225880
ko05203,R120225880
ko00010,R120080450
ko00030,R120080450
ko00500,R120080450
ko00520,R120080450
ko01100,R120080450
ko01110,R120080450
ko01120,R120080450
ko01200,R120080450
ko03440,R120006110
ko00051,R120310220
ko00500,R120310220
ko00520,R120310220
ko01100,R120310220
ko01110,R120310220
ko04138,R120140780
ko04144,R120140780
ko04530,R120140780
ko04666,R120140780
ko04810,R120140780
ko05100,R120140780
ko05130,R120140780
ko05131,R120140780
ko05132,R120140780
ko05135,R120140780
ko00941,R120172930
ko01100,R120172930
ko01110,R120172930
ko04150,R120215290
ko04152,R120215290
ko04141,R120151590
ko03010,R120368440
ko00270,R120037510
ko00480,R120037510
ko01100,R120037510
ko01240,R120037510
ko03010,R120242830
ko05171,R120242830
ko04138,R120393310
ko05132,R120393310
ko00073,R120364300
ko01100,R120364300
ko03018,R120217440
ko03013,R120128170
ko00190,R120102250
ko01100,R120102250
ko00940,R120142890
ko01100,R120142890
ko01110,R120142890
ko04142,R120167670
ko05170,R120167670
ko00052,R120196560
ko00520,R120196560
ko01100,R120196560
ko04917,R120196560
ko04013,R120024030
ko04120,R120024030
ko04141,R120024030
ko04624,R120024030
ko05131,R120024030
ko00790,R120257600
ko01240,R120257600
ko01523,R120257600
ko00562,R120052940
ko01100,R120052940
ko04020,R120052940
ko04070,R120052940
ko04919,R120052940
ko04933,R120052940
ko05131,R120052940
ko04613,R120339110
ko05034,R120339110
ko05203,R120339110
ko05322,R120339110
ko00130,R120277570
ko01100,R120277570
ko01110,R120277570
ko01240,R120277570
ko00340,R120403040
ko01100,R120403040
ko01110,R120403040
ko01230,R120403040
ko00230,R120203700
ko00232,R120203700
ko00983,R120203700
ko01100,R120203700
ko01110,R120203700
ko01120,R120203700
ko04146,R120203700
ko05010,R120117730
ko00230,R120110330
ko01100,R120110330
ko00250,R120097810
ko00330,R120097810
ko01100,R120097810
ko00260,R120044920
ko00630,R120044920
ko01100,R120044920
ko01110,R120044920
ko01200,R120044920
ko00190,R120118890
ko01100,R120118890
ko04714,R120118890
ko04075,R120163970
ko04217,R120316530
ko04613,R120316530
ko05034,R120316530
ko05322,R120316530
ko03010,R120372180
ko05171,R120372180
ko04712,R120200310
ko00563,R120109920
ko01100,R120109920
ko03013,R120127830
ko05014,R120127830
ko03030,R120071530
ko03410,R120071530
ko03450,R120071530
ko03010,R120227520
ko05171,R120227520
ko03010,R120117720
ko00564,R120103890
ko00565,R120103890
ko00590,R120103890
ko00591,R120103890
ko00592,R120103890
ko01100,R120103890
ko01110,R120103890
ko04014,R120103890
ko04270,R120103890
ko04972,R120103890
ko04975,R120103890
ko03050,R120208990
ko05010,R120208990
ko05012,R120208990
ko05014,R120208990
ko05016,R120208990
ko05017,R120208990
ko05020,R120208990
ko05022,R120208990
ko05169,R120208990
ko00260,R120042740
ko00750,R120042740
ko01100,R120042740
ko01110,R120042740
ko01120,R120042740
ko01230,R120042740
ko03440,R120361290
ko03008,R120087780
ko04146,R120169730
ko04130,R120186940
ko00480,R120363350
ko00980,R120363350
ko00982,R120363350
ko00983,R120363350
ko01100,R120363350
ko01524,R120363350
ko04212,R120363350
ko05200,R120363350
ko05204,R120363350
ko05225,R120363350
ko05418,R120363350
ko04613,R120028190
ko05034,R120028190
ko05131,R120028190
ko05202,R120028190
ko05322,R120028190
ko04964,R120038700
ko00073,R120142480
ko00902,R120364440
ko01110,R120364440
ko04144,R120040580
ko00010,R120172970
ko00051,R120172970
ko00562,R120172970
ko00710,R120172970
ko01100,R120172970
ko01110,R120172970
ko01120,R120172970
ko01200,R120172970
ko01230,R120172970
ko00040,R120214000
ko01100,R120214000
ko02020,R120214000
ko00010,R120292300
ko00053,R120292300
ko00071,R120292300
ko00280,R120292300
ko00310,R120292300
ko00330,R120292300
ko00340,R120292300
ko00380,R120292300
ko00410,R120292300
ko00561,R120292300
ko00620,R120292300
ko00625,R120292300
ko00770,R120292300
ko00903,R120292300
ko00981,R120292300
ko01100,R120292300
ko01110,R120292300
ko01120,R120292300
ko01240,R120292300
ko04075,R120364380
ko04075,R120051240
ko00561,R120179660
ko01100,R120179660
ko04714,R120179660
ko04723,R120179660
ko04923,R120179660
ko00908,R120082900
ko00030,R120136940
ko00710,R120136940
ko01051,R120136940
ko01100,R120136940
ko01110,R120136940
ko01120,R120136940
ko01200,R120136940
ko01230,R120136940
ko00940,R120341560
ko01100,R120341560
ko01110,R120341560
ko00051,R120150280
ko00520,R120150280
ko01100,R120150280
ko01110,R120150280
ko01240,R120150280
ko03010,R120229020
ko05171,R120229020
ko00195,R120127390
ko00230,R120283820
ko00261,R120283820
ko00450,R120283820
ko00920,R120283820
ko01100,R120283820
ko01110,R120283820
ko01120,R120283820
ko00940,R120040000
ko00941,R120040000
ko00945,R120040000
ko01100,R120040000
ko01110,R120040000
ko04613,R120228790
ko05034,R120228790
ko05203,R120228790
ko05322,R120228790
ko00750,R120342040
ko01100,R120342040
ko01120,R120342040
ko01240,R120342040
ko00562,R120147480
ko01100,R120147480
ko04011,R120147480
ko04070,R120147480
ko04072,R120147480
ko04139,R120147480
ko04144,R120147480
ko04510,R120147480
ko04666,R120147480
ko04810,R120147480
ko05135,R120147480
ko05231,R120147480
ko00940,R120154530
ko01100,R120154530
ko01110,R120154530
ko00030,R120276130
ko00230,R120276130
ko01100,R120276130
ko01110,R120276130
ko01120,R120276130
ko01200,R120276130
ko01230,R120276130
ko04110,R120171500
ko04111,R120171500
ko04712,R120211720
ko03008,R120244030
ko00480,R120071660
ko01100,R120071660
ko04138,R120139310
ko03450,R120304890
ko00195,R120362830
ko00562,R120026020
ko01100,R120026020
ko04070,R120026020
ko00400,R120050030
ko01100,R120050030
ko01110,R120050030
ko01230,R120050030
ko03018,R120072330
ko00340,R120121120
ko01100,R120121120
ko01110,R120121120
ko01230,R120121120
ko00600,R120381680
ko04142,R120381680
ko00052,R120362340
ko01100,R120362340
ko03018,R120345420
ko04075,R120069120
ko04130,R120144660
ko03010,R120176010
ko05171,R120176010
ko00220,R120189920
ko00250,R120189920
ko00471,R120189920
ko00910,R120189920
ko01100,R120189920
ko01120,R120189920
ko01200,R120189920
ko04217,R120189920
ko04964,R120189920
ko04130,R120203680
ko04075,R120283870
ko00220,R120347230
ko00250,R120347230
ko00630,R120347230
ko00910,R120347230
ko01100,R120347230
ko01120,R120347230
ko01230,R120347230
ko02020,R120347230
ko04217,R120347230
ko04724,R120347230
ko04727,R120347230
ko00860,R120219000
ko01100,R120219000
ko01110,R120219000
ko00061,R120063870
ko00780,R120063870
ko01100,R120063870
ko01212,R120063870
ko01240,R120063870
ko00100,R120377650
ko01100,R120377650
ko01110,R120377650
ko03040,R120219780
ko00564,R120039730
ko01100,R120039730
ko01110,R120039730
ko00630,R120346820
ko00710,R120346820
ko01100,R120346820
ko01110,R120346820
ko01120,R120346820
ko01200,R120346820
ko04066,R120312830
ko04120,R120312830
ko05170,R120312830
ko05200,R120312830
ko05211,R120312830
ko00562,R120084920
ko01100,R120084920
ko04070,R120084920
ko00300,R120045400
ko01100,R120045400
ko01110,R120045400
ko01230,R120045400
ko00564,R120138480
ko01100,R120138480
ko04141,R120018290
ko05110,R120018290
ko04621,R120277160
ko05012,R120277160
ko05132,R120277160
ko05418,R120277160
ko00010,R120044800
ko00030,R120044800
ko00051,R120044800
ko00052,R120044800
ko00680,R120044800
ko01100,R120044800
ko01110,R120044800
ko01120,R120044800
ko01200,R120044800
ko01230,R120044800
ko03018,R120044800
ko04066,R120044800
ko04152,R120044800
ko04919,R120044800
ko04922,R120044800
ko05230,R120044800
ko00520,R120116060
ko01100,R120116060
ko04141,R120045630
ko04075,R120085070
ko04068,R120087910
ko04140,R120087910
ko04150,R120087910
ko04151,R120087910
ko04152,R120087910
ko04211,R120087910
ko04213,R120087910
ko04361,R120087910
ko04371,R120087910
ko04530,R120087910
ko04710,R120087910
ko04714,R120087910
ko04910,R120087910
ko04920,R120087910
ko04921,R120087910
ko04922,R120087910
ko04931,R120087910
ko04932,R120087910
ko05410,R120087910
ko05418,R120087910
ko00290,R120292840
ko00660,R120292840
ko00966,R120292840
ko01100,R120292840
ko01110,R120292840
ko01210,R120292840
ko01230,R120292840
ko01524,R120208170
ko04016,R120208170
ko04978,R120208170
ko04075,R120202710
ko03040,R120243230
ko00040,R120363450
ko01100,R120363450
ko02020,R120363450
ko00910,R120035890
ko01100,R120035890
ko00020,R120276030
ko01100,R120276030
ko01110,R120276030
ko01120,R120276030
ko01200,R120276030
ko01210,R120276030
ko01230,R120276030
ko03010,R120240480
ko03040,R120308110
ko05322,R120308110
ko03008,R120296880
ko03013,R120296880
ko04016,R120321050
ko04075,R120321050
ko03018,R120282970
ko03040,R120282970
ko01521,R120116250
ko01522,R120116250
ko01524,R120116250
ko04010,R120116250
ko04011,R120116250
ko04012,R120116250
ko04013,R120116250
ko04014,R120116250
ko04015,R120116250
ko04022,R120116250
ko04024,R120116250
ko04062,R120116250
ko04066,R120116250
ko04068,R120116250
ko04071,R120116250
ko04072,R120116250
ko04111,R120116250
ko04114,R120116250
ko04140,R120116250
ko04150,R120116250
ko04151,R120116250
ko04210,R120116250
ko04214,R120116250
ko04218,R120116250
ko04261,R120116250
ko04270,R120116250
ko04320,R120116250
ko04350,R120116250
ko04360,R120116250
ko04370,R120116250
ko04371,R120116250
ko04380,R120116250
ko04510,R120116250
ko04520,R120116250
ko04540,R120116250
ko04550,R120116250
ko04611,R120116250
ko04613,R120116250
ko04620,R120116250
ko04621,R120116250
ko04625,R120116250
ko04650,R120116250
ko04657,R120116250
ko04658,R120116250
ko04659,R120116250
ko04660,R120116250
ko04662,R120116250
ko04664,R120116250
ko04666,R120116250
ko04668,R120116250
ko04713,R120116250
ko04720,R120116250
ko04722,R120116250
ko04723,R120116250
ko04724,R120116250
ko04725,R120116250
ko04726,R120116250
ko04730,R120116250
ko04810,R120116250
ko04910,R120116250
ko04912,R120116250
ko04914,R120116250
ko04915,R120116250
ko04916,R120116250
ko04917,R120116250
ko04919,R120116250
ko04921,R120116250
ko04926,R120116250
ko04928,R120116250
ko04929,R120116250
ko04930,R120116250
ko04933,R120116250
ko04934,R120116250
ko04935,R120116250
ko04960,R120116250
ko05010,R120116250
ko05020,R120116250
ko05022,R120116250
ko05034,R120116250
ko05130,R120116250
ko05131,R120116250
ko05132,R120116250
ko05133,R120116250
ko05135,R120116250
ko05140,R120116250
ko05142,R120116250
ko05145,R120116250
ko05152,R120116250
ko05160,R120116250
ko05161,R120116250
ko05163,R120116250
ko05164,R120116250
ko05165,R120116250
ko05166,R120116250
ko05167,R120116250
ko05170,R120116250
ko05171,R120116250
ko05200,R120116250
ko05203,R120116250
ko05205,R120116250
ko05206,R120116250
ko05210,R120116250
ko05211,R120116250
ko05212,R120116250
ko05213,R120116250
ko05214,R120116250
ko05215,R120116250
ko05216,R120116250
ko05218,R120116250
ko05219,R120116250
ko05220,R120116250
ko05221,R120116250
ko05223,R120116250
ko05224,R120116250
ko05225,R120116250
ko05226,R120116250
ko05230,R120116250
ko05231,R120116250
ko05235,R120116250
ko00030,R120108460
ko00710,R120108460
ko01051,R120108460
ko01100,R120108460
ko01110,R120108460
ko01120,R120108460
ko01200,R120108460
ko01230,R120108460
ko04216,R120052790
ko04217,R120052790
ko04978,R120052790
ko04068,R120340300
ko04310,R120340300
ko04340,R120340300
ko04341,R120340300
ko04390,R120340300
ko04391,R120340300
ko04392,R120340300
ko04710,R120340300
ko04711,R120340300
ko05010,R120340300
ko05022,R120340300
ko00970,R120103110
ko03008,R120014910
ko00500,R120184670
ko01100,R120184670
ko01110,R120184670
ko04970,R120184670
ko04972,R120184670
ko04973,R120184670
ko00480,R120261640
ko00980,R120261640
ko00982,R120261640
ko00983,R120261640
ko01100,R120261640
ko01524,R120261640
ko04212,R120261640
ko05200,R120261640
ko05204,R120261640
ko05225,R120261640
ko05418,R120261640
ko04141,R120210750
ko04145,R120210750
ko04612,R120210750
ko04918,R120210750
ko05166,R120210750
ko04013,R120092560
ko04115,R120092560
ko04120,R120092560
ko04310,R120092560
ko04626,R120147540
ko03010,R120260980
ko05171,R120260980
ko04142,R120110310
ko04141,R120036490
ko04130,R120075750
ko04721,R120075750
ko00240,R120005120
ko00250,R120005120
ko01100,R120005120
ko01240,R120005120
ko00564,R120190460
ko00460,R120187420
ko00500,R120187420
ko00940,R120187420
ko01100,R120187420
ko01110,R120187420
ko05130,R120041980
ko04217,R120272810
ko04613,R120272810
ko05034,R120272810
ko05322,R120272810
ko04621,R120181170
ko05012,R120181170
ko05132,R120181170
ko05418,R120181170
ko03010,R120128400
ko05171,R120128400
ko00230,R120168380
ko00250,R120168380
ko01100,R120168380
ko01110,R120168380
ko04016,R120255040
ko03013,R120070920
ko03040,R120065960
ko03013,R120362450
ko04075,R120335110
ko00920,R120076700
ko01100,R120076700
ko01120,R120076700
ko01524,R120094190
ko03430,R120094190
ko05200,R120094190
ko05210,R120094190
ko00940,R120045650
ko01110,R120045650
ko05132,R120074730
ko04068,R120294120
ko04140,R120294120
ko04150,R120294120
ko04151,R120294120
ko04152,R120294120
ko04211,R120294120
ko04213,R120294120
ko04361,R120294120
ko04371,R120294120
ko04530,R120294120
ko04710,R120294120
ko04714,R120294120
ko04910,R120294120
ko04920,R120294120
ko04921,R120294120
ko04922,R120294120
ko04931,R120294120
ko04932,R120294120
ko05410,R120294120
ko05418,R120294120
ko03015,R120040300
ko03013,R120043370
ko05416,R120043370
ko04144,R120189100
ko04962,R120323110
ko05132,R120323110
ko04020,R120401370
ko04921,R120401370
ko04925,R120401370
ko05214,R120401370
ko00061,R120030790
ko00620,R120030790
ko00640,R120030790
ko00720,R120030790
ko01100,R120030790
ko01110,R120030790
ko01120,R120030790
ko01200,R120030790
ko01212,R120030790
ko00940,R120086120
ko01100,R120086120
ko01110,R120086120
ko00561,R120084040
ko01100,R120084040
ko00562,R120067680
ko01100,R120067680
ko04011,R120067680
ko04070,R120067680
ko04072,R120067680
ko04139,R120067680
ko04144,R120067680
ko04510,R120067680
ko04666,R120067680
ko04810,R120067680
ko05135,R120067680
ko05231,R120067680
ko00904,R120393640
ko01100,R120393640
ko01110,R120393640
ko00514,R120284210
ko00500,R120354960
ko01100,R120354960
ko01110,R120354960
ko01524,R120187210
ko04016,R120187210
ko04978,R120187210
ko00040,R120172830
ko01100,R120172830
ko02024,R120172830
ko02010,R120167240
ko04976,R120167240
ko05206,R120167240
ko05226,R120167240
ko00562,R120009960
ko01100,R120009960
ko05014,R120009960
ko05022,R120009960
ko04016,R120282860
ko04210,R120071130
ko04214,R120071130
ko04215,R120071130
ko05012,R120071130
ko05022,R120071130
ko03015,R120142520
ko00970,R120189320
ko00860,R120328040
ko01100,R120328040
ko01110,R120328040
ko00940,R120081210
ko01100,R120081210
ko01110,R120081210
ko03013,R120104300
ko00053,R120377480
ko00562,R120377480
ko01100,R120377480
ko01110,R120377480
ko01240,R120377480
ko04070,R120377480
ko00330,R120042640
ko00410,R120042640
ko01100,R120042640
ko03060,R120070630
ko03070,R120070630
ko03015,R120029310
ko00510,R120240720
ko01100,R120240720
ko04391,R120261310
ko00040,R120008640
ko01100,R120008640
ko04144,R120241360
ko00190,R120085160
ko01100,R120085160
ko04142,R120085160
ko04145,R120085160
ko04150,R120085160
ko04721,R120085160
ko05110,R120085160
ko05120,R120085160
ko05152,R120085160
ko05165,R120085160
ko05323,R120085160
ko04361,R120008070
ko00230,R120147920
ko00740,R120147920
ko01100,R120147920
ko03040,R120263930
ko00290,R120376060
ko00650,R120376060
ko00660,R120376060
ko00770,R120376060
ko01100,R120376060
ko01110,R120376060
ko01210,R120376060
ko01230,R120376060
ko00040,R120224390
ko01100,R120224390
ko02020,R120224390
ko03040,R120160320
ko04141,R120257010
ko00240,R120035650
ko01100,R120035650
ko01240,R120035650
ko05130,R120267370
ko00290,R120353430
ko00660,R120353430
ko01100,R120353430
ko01110,R120353430
ko01210,R120353430
ko01230,R120353430
ko03410,R120006560
ko05340,R120006560
ko00270,R120100140
ko01100,R120100140
ko01110,R120100140
ko03013,R120149810
ko05014,R120149810
ko00062,R120191730
ko01040,R120191730
ko01100,R120191730
ko01110,R120191730
ko01212,R120191730
ko00040,R120224980
ko01100,R120224980
ko00910,R120186510
ko04714,R120272730
ko04144,R120256210
ko04016,R120109160
ko04075,R120109160
ko04626,R120109160
ko00100,R120247410
ko01100,R120247410
ko01110,R120247410
ko00230,R120038090
ko00240,R120038090
ko00983,R120038090
ko01100,R120038090
ko01110,R120038090
ko01240,R120038090
ko04016,R120038090
ko04122,R120199530
ko03018,R120212690
ko03040,R120212690
ko05130,R120075740
ko03020,R120271430
ko04623,R120271430
ko05016,R120271430
ko04626,R120218260
ko05130,R120118190
ko00053,R120116240
ko00480,R120116240
ko01100,R120116240
ko04340,R120147090
ko04341,R120147090
ko00561,R120215850
ko00564,R120215850
ko01110,R120215850
ko00860,R120362010
ko01100,R120362010
ko01110,R120362010
ko04626,R120075030
ko04068,R120165910
ko04922,R120165910
ko04016,R120045570
ko04075,R120045570
ko00900,R120294480
ko01100,R120294480
ko01110,R120294480
ko03010,R120193600
ko03013,R120197440
ko05168,R120197440
ko03018,R120322110
ko00052,R120200210
ko00520,R120200210
ko00541,R120200210
ko01100,R120200210
ko04360,R120019720
ko04666,R120019720
ko04810,R120019720
ko05133,R120019720
ko05170,R120019720
ko04136,R120175730
ko04138,R120175730
ko04139,R120175730
ko04140,R120175730
ko04150,R120175730
ko04212,R120175730
ko05010,R120175730
ko05014,R120175730
ko05016,R120175730
ko05017,R120175730
ko05022,R120175730
ko04144,R120190990
ko04217,R120190990
ko05166,R120116620
ko05203,R120116620
ko03018,R120096250
ko04212,R120096250
ko04940,R120096250
ko05134,R120096250
ko05152,R120096250
ko00061,R120096080
ko00071,R120096080
ko01100,R120096080
ko01212,R120096080
ko02024,R120096080
ko03320,R120096080
ko04146,R120096080
ko04216,R120096080
ko04714,R120096080
ko04920,R120096080
ko04110,R120244200
ko04111,R120244200
ko04113,R120244200
ko04114,R120244200
ko04120,R120244200
ko04914,R120244200
ko05166,R120244200
ko04626,R120194750
ko04016,R120310930
ko04626,R120310930
ko00300,R120327120
ko01100,R120327120
ko01110,R120327120
ko01230,R120327120
ko03440,R120231450
ko03460,R120231450
ko00561,R120145500
ko00564,R120145500
ko01100,R120145500
ko01110,R120145500
ko00190,R120199310
ko00195,R120199310
ko01100,R120199310
ko00400,R120213990
ko01100,R120213990
ko01110,R120213990
ko01230,R120213990
ko00510,R120285940
